,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
105,27,55,28,3,0,96.42,1,caught,2,v Sri Lanka,Colombo (RPS),170Aug097
106,6,4,6,1,0,100,1,lbw,1,v Sri Lanka,Colombo (RPS),200Aug097
107,39,41,32,3,2,121.87,1,caught,2,v Sri Lanka,Colombo (SSC),240Aug097
108,2,17,11,0,0,18.18,1,bowled,1,v Pakistan,Hyderabad (Sind),280Sep097
109,21,24,18,2,1,116.66,1,caught,2,v Pakistan,Karachi,300Sep097
110,7,19,11,1,0,63.63,1,caught,1,v Pakistan,Lahore,20Oct097
111,82,110,86,6,0,95.34,4,not out,2,v Sri Lanka,Guwahati,220Dec097
112,6,23,13,0,0,46.15,3,caught,1,v Sri Lanka,Margao,280Dec097
113,54,104,76,4,0,71.05,4,caught,2,v Bangladesh,Dhaka,100Jan098
114,8,21,11,1,0,72.72,2,caught,1,v Australia,Kochi,10Apr098
115,5,44,17,0,0,29.41,2,run out,1,v Zimbabwe,Vadodara,50Apr098
116,100,132,89,5,7,112.35,2,caught,2,v Australia,Kanpur,70Apr098
117,1,18,2,0,0,50,2,caught,1,v Zimbabwe,Cuttack,90Apr098
118,15,45,24,2,0,62.5,2,caught,1,v Australia,Delhi,140Apr098
119,33,48,29,6,0,113.79,2,caught,2,v Bangladesh,Mumbai,250May098
120,18,33,25,2,0,72,2,caught,2,v Kenya,Gwalior,280May098
121,100,156,103,13,0,97.08,2,not out,2,v Kenya,Kolkata,310May098
122,65,79,50,9,0,130,2,caught,2,v Sri Lanka,Colombo (RPS),190Jun098
123,17,28,16,4,0,106.25,2,caught,2,v Sri Lanka,Colombo (SSC),10Jul098
124,128,182,131,8,2,97.7,2,stumped,1,v Sri Lanka,Colombo (RPS),70Jul098
125,127,155,130,13,1,97.69,2,not out,2,v Zimbabwe,Bulawayo,260Sep098
126,29,33,21,4,1,138.09,1,caught,2,v Zimbabwe,Bulawayo,270Sep098
127,2,7,6,0,0,33.33,2,caught,2,v Zimbabwe,Harare,300Sep098
128,0,10,5,0,0,0,2,caught,1,v New Zealand,Taupo,90Jan099
129,23,37,19,4,0,121.05,2,caught,2,v New Zealand,Napier,120Jan099
130,5,27,12,1,0,41.66,1,lbw,2,v New Zealand,Auckland,160Jan099
131,22,49,40,2,0,55,4,caught,1,v England,Birmingham,290May099
132,37,105,58,1,0,63.79,2,run out,1,v Sri Lanka,Colombo (RPS),250Aug099
133,120,191,141,11,2,85.1,1,caught,1,v Sri Lanka,Colombo (SSC),290Aug099
134,32,61,31,2,1,103.22,2,caught,2,v New Zealand,Rajkot,50Nov099
135,186,221,150,20,3,124,2,not out,1,v New Zealand,Hyderabad (Deccan),80Nov099
136,1,41,23,0,0,4.34,2,caught,1,v New Zealand,Gwalior,110Nov099
137,2,21,10,0,0,20,2,caught,2,v New Zealand,Guwahati,140Nov099
138,0,2,3,0,0,0,4,caught,2,v New Zealand,Delhi,170Nov099
139,12,25,11,2,0,109.09,4,run out,2,v Australia,Melbourne,120Jan000
140,1,13,11,0,0,9.09,2,caught,1,v Australia,Sydney,140Jan000
141,18,45,28,2,0,64.28,1,caught,2,v Australia,Adelaide,260Jan000
142,3,23,21,0,0,14.28,2,bowled,1,v Australia,Perth,300Jan000
143,26,66,25,4,0,104,2,caught,2,v South Africa,Kochi,90Mar000
144,21,39,31,3,0,67.74,2,caught,2,v South Africa,Jamshedpur,120Mar000
145,12,48,28,1,0,42.85,2,lbw,1,v South Africa,Faridabad,150Mar000
146,122,195,138,12,0,88.4,2,caught,2,v South Africa,Vadodara,170Mar000
147,93,119,89,7,4,104.49,2,caught,2,v South Africa,Nagpur,190Mar000
148,36,55,25,4,2,144,2,caught,2,v Bangladesh,Dhaka,300May000
149,25,55,35,4,0,71.42,2,lbw,2,v Kenya,Nairobi (Gym),30Oct000
150,44,90,49,7,0,89.79,2,caught,2,v Zimbabwe,Cuttack,20Dec000
151,8,27,20,0,0,40,1,caught,1,v Zimbabwe,Ahmedabad,50Dec000
152,146,200,153,15,2,95.42,2,caught,1,v Zimbabwe,Jodhpur,80Dec000
153,62,113,86,9,0,72.09,2,lbw,2,v Zimbabwe,Kanpur,110Dec000
154,27,38,38,5,0,71.05,2,bowled,1,v Zimbabwe,Rajkot,140Dec000
155,35,47,26,6,1,134.61,2,run out,1,v Australia,Bengaluru,250Mar001
156,32,35,29,6,1,110.34,2,caught,1,v Australia,Pune,280Mar001
157,139,197,125,19,0,111.2,2,caught,1,v Australia,Indore,310Mar001
158,62,68,38,11,0,163.15,2,caught,2,v Australia,Visakhapatnam,30Apr001
159,12,17,15,2,0,80,2,caught,1,v Australia,Margao,60Apr001
160,70,129,70,13,0,100,2,not out,2,v Zimbabwe,Harare,240Jun001
161,9,42,27,0,0,33.33,2,caught,2,v Zimbabwe,Bulawayo,270Jun001
162,101,209,129,9,0,78.29,2,caught,1,v South Africa,Johannesburg,50Oct001
163,38,82,57,5,0,66.66,2,caught,1,v South Africa,Centurion,100Oct001
164,37,68,35,5,0,105.71,2,bowled,2,v South Africa,East London,190Oct001
165,17,49,42,3,0,40.47,2,bowled,1,v South Africa,Durban,260Oct001
166,36,71,43,6,0,83.72,2,bowled,1,v England,Kolkata,190Jan002
167,45,101,60,6,0,75,2,run out,2,v England,Cuttack,220Jan002
168,68,110,79,10,0,86.07,1,lbw,2,v England,Chennai,250Jan002
169,87,120,67,13,1,129.85,1,not out,2,v England,Kanpur,280Jan002
170,18,20,16,3,0,112.5,2,caught,2,v England,Delhi,310Jan002
171,12,22,18,1,1,66.66,2,caught,2,v England,Mumbai,30Feb002
172,34,64,45,2,0,75.55,4,not out,2,v West Indies,Bridgetown,290May002
173,65,110,70,3,1,92.85,4,bowled,1,v West Indies,Port of Spain,20Jun002
174,1,12,9,0,0,11.11,4,lbw,2,v England,Lord's,290Jun002
175,36,60,29,5,0,124.13,4,caught,2,v England,The Oval,90Jul002
176,14,31,19,1,0,73.68,4,bowled,2,v England,Lord's,130Jul002
177,0,9,10,0,0,0,4,lbw,2,v New Zealand,Wellington,80Jan003
178,1,21,13,0,0,7.69,4,caught,2,v New Zealand,Auckland,110Jan003
179,1,7,6,0,0,16.66,3,caught,1,v New Zealand,Hamilton,140Jan003
180,81,122,91,10,0,89.01,2,bowled,1,v Zimbabwe,Harare,190Feb003
181,100,158,119,9,1,84.03,2,caught,1,v Australia,Gwalior,260Oct003
182,68,113,76,10,0,89.47,2,bowled,2,v Australia,Mumbai,10Nov003
183,14,29,14,3,0,100,2,lbw,1,v New Zealand,Cuttack,60Nov003
184,89,133,91,12,1,97.8,2,bowled,2,v Australia,Bengaluru,120Nov003
185,102,124,91,12,1,112.08,2,caught,1,v New Zealand,Hyderabad (Deccan),150Nov003
186,45,104,66,5,0,68.18,1,bowled,2,v Australia,Kolkata,180Nov003
187,63,117,69,8,1,91.3,2,caught,2,v Australia,Melbourne,90Jan004
188,86,129,95,8,0,90.52,2,caught,1,v Australia,Brisbane,180Jan004
189,5,17,6,1,0,83.33,2,caught,1,v Australia,Perth,10Feb004
